ST_CASE,VEH_NO,DRIVER_DISTRACTION
10625,1,
10625,2,
10626,1,
10627,1,
10627,2,
10628,1,
10628,2,
10629,1,
10630,1,Not Distracted
10631,1,
10632,1,
10633,1,
10634,1,
10634,2,
10635,1,
10635,2,Not Distracted
10636,1,
10637,1,
10638,1,
10638,2,Not Distracted
10638,3,Not Distracted
10639,1,
10640,1,
10640,2,Not Distracted
10641,1,
10641,2,
10641,3,
10641,4,
10642,1,
10643,1,
10644,1,
10645,1,
10646,1,
10647,1,
10648,1,
10648,2,
10649,1,
10650,1,
10650,2,
10650,3,
10651,1,
10651,2,
10652,1,
10653,1,
10653,2,
10654,1,
10655,1,Other Mobile Phone Related
10655,2,
10656,1,
10657,1,Eating or Drinking
10657,2,
10658,1,
10659,1,
10660,1,
10661,1,
10662,1,
10662,2,
10663,1,
10664,1,
10664,2,
10665,1,
10665,2,
10666,1,
10666,2,
10666,3,
10666,4,
10667,1,
10668,1,
10669,1,
10670,1,
10670,2,
10671,1,Other Mobile Phone Related
10671,2,
10672,1,
10672,2,
10672,3,
10673,1,
10674,1,Not Distracted
10675,1,
10676,1,
10676,2,
10677,1,
10677,2,
10678,1,
10678,2,Not Distracted
10679,1,
10680,1,
10681,1,
10682,1,
10683,1,
10683,2,
10683,3,
10684,1,
10684,2,
10685,1,Adjusting Audio Or Climate Controls
10685,2,
10685,3,
10685,4,
10685,5,Not Distracted
10685,6,
10686,1,Not Distracted
10686,2,Not Distracted
10687,1,
10688,1,
10689,1,
10690,1,
10691,1,
10692,1,
10693,1,
10693,2,
10694,1,
10694,2,
10695,1,
10696,1,Not Distracted
10697,1,Not Distracted
10698,1,
10699,1,
10699,2,
10700,1,
10702,1,
10703,1,
10704,1,
10704,2,
10705,1,
10706,1,
10706,2,
10707,1,Other Mobile Phone Related
10707,2,
10708,1,
10708,2,
10709,1,
10709,2,
10709,3,
10710,1,
10711,1,
10712,1,
10713,1,
10714,1,
10715,1,
10715,2,
10716,1,
10717,1,
10717,2,
10718,1,
10718,2,Not Distracted
10719,1,
10719,2,
10720,1,
10721,1,
10722,1,
10723,1,
10724,1,
10725,1,
10726,1,
10726,2,
10727,1,
10727,2,
10728,1,
10728,2,
10728,3,
10729,1,
10729,2,
10730,1,
10730,2,
10731,1,
10731,2,
10731,3,
10732,1,
10733,1,
10734,1,
10734,2,
10735,1,
10735,2,
10736,1,
10736,2,
10737,1,
10737,2,
10737,3,
10738,1,
10739,1,
10740,1,
10741,1,
10742,1,
10743,1,
10744,1,
10744,2,Not Distracted
10744,3,Not Distracted
10745,1,While Using or Reaching for Device/Object Brought into Vehicle
10745,1,Eating or Drinking
10746,1,
10746,2,
10747,1,
10748,1,
10749,1,
10749,2,
10750,1,
10750,2,
10751,1,
10751,2,
10752,1,
10752,2,
10753,1,Other Mobile Phone Related
10754,1,
10755,1,
10755,2,
10756,1,
10757,1,
10757,2,
10758,1,
10759,1,
10759,2,
10760,1,
10760,2,
10761,1,
10761,2,
10762,1,
10762,2,
10763,1,
10764,1,
10765,1,Reported as Unknown if Distracted
10766,1,
10766,2,
10767,1,
10768,1,
10769,1,
10769,2,
10770,1,
10771,1,
10772,1,
10773,1,
10773,2,
10773,3,
10774,1,
10774,2,
10775,1,
10776,1,
10777,1,Not Distracted
10778,1,
10778,2,
10779,1,
10780,1,
10781,1,
10782,1,
10782,2,
10783,1,
10783,2,
10784,1,
10785,1,
10786,1,
10787,1,
10787,2,
10788,1,
10788,2,
10789,1,
10789,2,
10790,1,
10791,1,
10791,2,
10792,1,
10793,1,Not Distracted
10794,1,
10794,2,Not Distracted
10794,3,
10795,1,
10795,2,
10796,1,
10796,2,
10797,1,Reported as Unknown if Distracted
10798,1,
10798,2,
10799,1,
10801,1,
10802,1,
10803,1,
10804,1,
10804,2,Not Distracted
10805,1,"Distraction (Distracted), Details Unknown"
10805,2,
10806,1,
10807,1,
10808,1,
10809,1,
10810,1,
10810,2,
10811,1,
10812,1,
10812,2,
10813,1,
10814,1,
10815,1,
10815,2,"Distracted by Outside Person, Object or Event"
10816,1,
10816,2,
10817,1,
10818,1,
10819,1,
10819,2,
10819,3,
10820,1,
10820,2,
10821,1,
10822,1,
10822,2,
10823,1,
10824,1,Not Distracted
10824,2,Not Distracted
10825,1,
10825,2,
10825,3,
10826,1,
10827,1,
10827,2,Not Distracted
10828,1,
10829,1,
10829,2,Not Distracted
10830,1,
10831,1,
10831,2,
10831,3,
10831,4,
10831,5,
10831,6,
10832,1,Reported as Unknown if Distracted
10833,1,
10834,1,
10835,1,
10835,2,
10836,1,
10837,1,
10837,2,
10838,1,
10839,1,
10840,1,
10840,2,
10841,1,
10841,2,
10842,1,
10843,1,Not Distracted
10844,1,
10844,2,
10845,1,
10846,1,
10847,1,
10847,2,
10848,1,
10849,1,
10849,2,
10850,1,No Driver Present/Unknown if Driver present
10851,1,
10852,1,
10852,2,
10852,3,
10853,1,
10854,1,
10855,1,
10856,1,
10856,2,
10856,3,
10857,1,
10857,2,
10858,1,
10859,1,
10860,1,
10861,1,"Distraction (Distracted), Details Unknown"
10861,2,
10862,1,
10863,1,Other Mobile Phone Related
10863,2,
10864,1,
10865,1,
10866,1,No Driver Present/Unknown if Driver present
10866,2,
10867,1,
10867,2,
10868,1,
10868,2,
10869,1,
10870,1,
10871,1,Not Distracted
10871,2,
10872,1,
10872,2,
10873,1,
10873,2,
10874,1,
10874,2,
10875,1,
10875,2,
10876,1,
10876,2,
10877,1,
10877,2,
10878,1,
10879,1,
10879,2,
10880,1,
10880,2,
10881,1,
10882,1,
10883,1,While Using or Reaching for Device/Object Brought into Vehicle
10883,2,
10884,1,
10885,1,
10886,1,
10887,1,
10887,2,
10888,1,
10888,2,
10889,1,
10889,2,
10890,1,
10891,1,
10892,1,
10892,2,Not Distracted
10893,1,
10893,2,
10894,1,
10894,2,
10895,1,
10896,1,
10897,1,
10898,1,
10899,1,
10900,1,
10901,1,
10901,2,Not Distracted
10901,3,Not Distracted
10902,1,
10903,1,Not Distracted
10904,1,
10905,1,
10905,2,
10906,1,
10906,2,
10907,1,
10908,1,
10909,1,
10910,1,
10910,2,
10911,1,
10911,2,
10911,3,
10912,1,
10913,1,
10913,2,
10914,1,
10914,2,
10915,1,
10915,2,
10916,1,
10916,2,
10917,1,
10918,1,
10918,2,
10919,1,
20001,1,Not Distracted
20002,1,
20002,2,Not Distracted
20003,1,Not Distracted
20003,2,Not Distracted
20004,1,Not Distracted
20004,2,Reported as Unknown if Distracted
20005,1,Not Distracted
20005,2,Not Distracted
20005,3,Not Distracted
20006,1,Reported as Unknown if Distracted
20006,2,Not Distracted
20007,1,Reported as Unknown if Distracted
20007,2,Not Distracted
20008,1,Not Distracted
20008,2,Not Distracted
20009,1,Reported as Unknown if Distracted
20010,1,By Other Occupant(s)
20010,1,While Using or Reaching for Device/Object Brought into Vehicle
20011,1,
20012,1,Reported as Unknown if Distracted
20012,2,Reported as Unknown if Distracted
20013,1,Reported as Unknown if Distracted
20014,1,Reported as Unknown if Distracted
20015,1,"Distraction (Distracted), Details Unknown"
20015,2,Not Distracted
20015,3,Not Distracted
20016,1,Not Distracted
20017,1,Reported as Unknown if Distracted
20017,2,Reported as Unknown if Distracted
20018,1,
20019,1,
20019,2,
20019,3,Not Distracted
20019,4,Not Distracted
20019,5,Not Distracted
20020,1,Not Distracted
20020,2,Not Distracted
20021,1,Not Distracted
20022,1,Reported as Unknown if Distracted
20023,1,Not Distracted
20023,2,
20024,1,Not Distracted
20025,1,Reported as Unknown if Distracted
20025,2,Not Distracted
20026,1,Not Distracted
20026,2,Not Distracted
20027,1,Reported as Unknown if Distracted
20028,1,Reported as Unknown if Distracted
20029,1,Not Distracted
20029,2,Not Distracted
20030,1,Reported as Unknown if Distracted
20030,2,
20031,1,Reported as Unknown if Distracted
20032,1,Not Distracted
20032,2,Not Distracted
20033,1,Not Distracted
20034,1,Not Distracted
20034,2,Not Distracted
20034,3,Not Distracted
20035,1,Reported as Unknown if Distracted
20036,1,Not Distracted
20036,2,Not Distracted
20037,1,Reported as Unknown if Distracted
20038,1,Reported as Unknown if Distracted
20039,1,Reported as Unknown if Distracted
20040,1,Reported as Unknown if Distracted
20040,2,Not Distracted
20041,1,Not Distracted
20042,1,Not Distracted
20042,2,Not Distracted
20043,1,
20043,2,Reported as Unknown if Distracted
20043,3,
20044,1,Not Distracted
20045,1,Reported as Unknown if Distracted
20046,1,Reported as Unknown if Distracted
20047,1,Reported as Unknown if Distracted
20047,2,Not Distracted
20048,1,Not Distracted
20048,2,Not Distracted
20049,1,
20049,2,Not Distracted
20052,1,
20053,1,Reported as Unknown if Distracted
20054,1,Reported as Unknown if Distracted
20055,1,Reported as Unknown if Distracted
20056,1,Reported as Unknown if Distracted
20057,1,Reported as Unknown if Distracted
20057,2,Not Distracted
20058,1,Not Distracted
20059,1,Reported as Unknown if Distracted
20060,1,Not Distracted
20061,1,Reported as Unknown if Distracted
20061,2,Not Distracted
20062,1,Reported as Unknown if Distracted
20063,1,
20063,2,
20064,1,Reported as Unknown if Distracted
20065,1,Reported as Unknown if Distracted
20065,2,Reported as Unknown if Distracted
20066,1,Not Distracted
20066,2,Not Distracted
20067,1,Not Distracted
20067,2,Not Distracted
20068,1,Reported as Unknown if Distracted
20068,2,Not Distracted
20069,1,Reported as Unknown if Distracted
20069,2,Reported as Unknown if Distracted
20070,1,Reported as Unknown if Distracted
20070,2,Not Distracted
20071,1,Not Distracted
20072,1,Not Distracted
20072,2,Not Distracted
20073,1,Reported as Unknown if Distracted
20073,2,Not Distracted
20074,1,Not Distracted
20075,1,Not Distracted
20075,2,
20076,1,Not Distracted
20077,1,Reported as Unknown if Distracted
40001,1,Not Distracted
40001,2,Not Distracted
40001,3,Not Distracted
40002,1,Not Distracted
40003,1,Not Distracted
40003,2,Not Distracted
40004,1,"Distracted by Outside Person, Object or Event"
40004,2,"Distracted by Outside Person, Object or Event"
40005,1,Reported as Unknown if Distracted
40005,2,Not Distracted
40005,3,Reported as Unknown if Distracted
40006,1,Reported as Unknown if Distracted
40006,2,Not Distracted
40008,1,Not Distracted
40008,2,Not Distracted
40009,1,Reported as Unknown if Distracted
40010,1,Not Distracted
40010,2,Not Distracted
40010,3,Not Distracted
40011,1,Reported as Unknown if Distracted
40011,2,Not Distracted
40012,1,Reported as Unknown if Distracted
40013,1,Reported as Unknown if Distracted
40015,1,Reported as Unknown if Distracted
40015,2,Not Distracted
40015,3,Not Distracted
40016,1,Reported as Unknown if Distracted
40017,1,Reported as Unknown if Distracted
40017,2,Not Distracted
40018,1,Not Distracted
40019,1,No Driver Present/Unknown if Driver present
40019,2,Not Distracted
40020,1,Reported as Unknown if Distracted
40020,2,Not Distracted
40021,1,Reported as Unknown if Distracted
40022,1,Reported as Unknown if Distracted
40022,2,Not Distracted
40023,1,Reported as Unknown if Distracted
40024,1,By Other Occupant(s)
40024,2,Reported as Unknown if Distracted
40025,1,Reported as Unknown if Distracted
40026,1,Reported as Unknown if Distracted
40027,1,Not Distracted
40027,2,Not Distracted
40028,1,Not Distracted
40028,2,Not Distracted
40028,3,Not Distracted
40029,1,Not Distracted
40029,2,Not Distracted
40030,1,Not Distracted
40031,1,Reported as Unknown if Distracted
40032,1,Not Distracted
40032,2,Reported as Unknown if Distracted
40032,3,Not Distracted
40032,4,Not Distracted
40032,5,Not Distracted
40032,6,Not Distracted
40033,1,Reported as Unknown if Distracted
40033,2,Not Distracted
40034,1,Reported as Unknown if Distracted
40035,1,Not Distracted
40036,1,Reported as Unknown if Distracted
40037,1,"Distracted by Outside Person, Object or Event"
40038,1,
40038,2,
40039,1,Not Distracted
40040,1,Reported as Unknown if Distracted
40041,1,Not Distracted
40042,1,Reported as Unknown if Distracted
40043,1,Not Distracted
40044,1,"Distraction (Distracted), Details Unknown"
40045,1,Reported as Unknown if Distracted
40045,2,Not Distracted
40046,1,Reported as Unknown if Distracted
40046,2,Reported as Unknown if Distracted
40047,1,Reported as Unknown if Distracted
40048,1,Reported as Unknown if Distracted
40048,2,Not Distracted
40049,1,Reported as Unknown if Distracted
40049,2,Reported as Unknown if Distracted
40050,1,Reported as Unknown if Distracted
40051,1,Not Distracted
40051,2,Not Distracted
40052,1,Not Distracted
40054,1,Reported as Unknown if Distracted
40054,2,Not Distracted
40055,1,Not Distracted
40055,2,Not Distracted
40056,1,Not Distracted
40057,1,Not Distracted
40058,1,Not Distracted
40060,1,Not Distracted
40060,2,Reported as Unknown if Distracted
40061,1,Not Distracted
40061,2,Not Distracted
40062,1,Not Distracted
40063,1,"Distraction (Distracted), Details Unknown"
40064,1,Reported as Unknown if Distracted
40066,1,Reported as Unknown if Distracted
40067,1,Reported as Unknown if Distracted
40068,1,Reported as Unknown if Distracted
40069,1,Reported as Unknown if Distracted
40070,1,Not Distracted
40070,2,Not Distracted
40071,1,Reported as Unknown if Distracted
40071,2,Not Distracted
40073,1,Reported as Unknown if Distracted
40073,2,Reported as Unknown if Distracted
40074,1,Reported as Unknown if Distracted
40074,2,Not Distracted
40075,1,Reported as Unknown if Distracted
40075,2,Not Distracted
40076,1,Reported as Unknown if Distracted
40077,1,Reported as Unknown if Distracted
40077,2,Not Distracted
40078,1,Not Distracted
40080,1,Reported as Unknown if Distracted
40080,2,
40080,3,Not Distracted
40081,1,Reported as Unknown if Distracted
40081,2,Reported as Unknown if Distracted
40082,1,Reported as Unknown if Distracted
40082,2,Reported as Unknown if Distracted
40083,1,Not Distracted
40084,1,Reported as Unknown if Distracted
40085,1,Not Distracted
40086,1,Reported as Unknown if Distracted
40086,2,Not Distracted
40087,1,
40088,1,Not Distracted
40088,2,Reported as Unknown if Distracted
40089,1,Not Distracted
40089,2,Not Distracted
40090,1,Not Distracted
40091,1,Reported as Unknown if Distracted
40092,1,
40092,2,Reported as Unknown if Distracted
40093,1,Not Distracted
40094,1,Not Distracted
40095,1,Reported as Unknown if Distracted
40095,2,Not Distracted
40096,1,"Distracted by Outside Person, Object or Event"
40097,1,While Manipulating Mobile Phone
40098,1,Reported as Unknown if Distracted
40098,2,Not Distracted
40099,1,Not Distracted
40099,2,Not Distracted
40100,1,Reported as Unknown if Distracted
40101,1,Reported as Unknown if Distracted
40101,2,Not Distracted
40102,1,Not Distracted
40103,1,Not Distracted
